"","subunit_1","subunit_2","subunit_3","subunit_4"
"KLRK1_HCST","KLRK1","HCST","",""
"LIFR_IL6ST","LIFR","IL6ST","",""
"Npnt complex 1","NPNT","FRAS1","FREM1",""
"Npnt complex 2","NPNT","FRAS1","FREM2",""
"NRP1_NRP2","NRP1","NRP2","PLXND1",""
"NRP1_PLXNA1","NRP1","PLXNA1","",""
"NRP1_PLXNA2","NRP1","PLXNA2","",""
"NRP1_PLXNA3","NRP1","PLXNA3","",""
"NRP1_PLXNA4","NRP1","PLXNA4","",""
"NRP2_PLXNA1","NRP2","PLXNA1","",""
"NRP2_PLXNA2","NRP2","PLXNA2","",""
"NRP2_PLXNA3","NRP2","PLXNA3","",""
"NRP2_PLXNA4","NRP2","PLXNA4","",""
"OSMR_IL6ST","OSMR","IL6ST","",""
"PLXNA1_KDR","PLXNA1","KDR","",""
"PLXNA1_TREM2","PLXNA1","TREM2","TYROBP",""
"PTCH1_SMO","PTCH1","SMO","",""
"PTCH2_SMO","PTCH2","SMO","",""
"TGFBR1_ACVR2A","TGFBR1","ACVR2A","",""
"TGFBR1_ACVR2B","TGFBR1","ACVR2B","",""
"TGFbR1_R2","TGFBR1","TGFBR2","",""
"CD94:NKG2A","KLRD1","KLRC1","",""
"CD94:NKG2C","KLRD1","KLRC2","",""
"CD94:NKG2E","KLRD1","KLRC3","",""
