"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"TGFB3_ACVR1_TGFBR1","TGFB3_ACVR1_TGFBR1","TGFb","Tgfb3","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","Tgfb3  - (Acvr1+Tgfbr1)"
"BMP2_BMPR1A_ACVR2A","BMP2_BMPR1A_ACVR2A","BMP","Bmp2","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2a)"
"BMP2_BMPR1A_ACVR2B","BMP2_BMPR1A_ACVR2B","BMP","Bmp2","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Acvr2b)"
"BMP2_BMPR1A_BMPR2","BMP2_BMPR1A_BMPR2","BMP","Bmp2","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1a+Bmpr2)"
"BMP2_BMPR1B_ACVR2A","BMP2_BMPR1B_ACVR2A","BMP","Bmp2","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Acvr2a)"
"BMP2_BMPR1B_ACVR2B","BMP2_BMPR1B_ACVR2B","BMP","Bmp2","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Acvr2b)"
"BMP2_BMPR1B_BMPR2","BMP2_BMPR1B_BMPR2","BMP","Bmp2","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp2  - (Bmpr1b+Bmpr2)"
"BMP4_BMPR1A_ACVR2A","BMP4_BMPR1A_ACVR2A","BMP","Bmp4","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1a+Acvr2a)"
"BMP4_BMPR1A_ACVR2B","BMP4_BMPR1A_ACVR2B","BMP","Bmp4","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1a+Acvr2b)"
"BMP4_BMPR1A_BMPR2","BMP4_BMPR1A_BMPR2","BMP","Bmp4","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1a+Bmpr2)"
"BMP4_BMPR1B_ACVR2A","BMP4_BMPR1B_ACVR2A","BMP","Bmp4","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1b+Acvr2a)"
"BMP4_BMPR1B_ACVR2B","BMP4_BMPR1B_ACVR2B","BMP","Bmp4","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1b+Acvr2b)"
"BMP4_BMPR1B_BMPR2","BMP4_BMPR1B_BMPR2","BMP","Bmp4","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp4  - (Bmpr1b+Bmpr2)"
"GDF5_BMPR1A_ACVR2A","GDF5_BMPR1A_ACVR2A","BMP","Gdf5","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf5  - (Bmpr1a+Acvr2a)"
"GDF5_BMPR1A_ACVR2B","GDF5_BMPR1A_ACVR2B","BMP","Gdf5","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf5  - (Bmpr1a+Acvr2b)"
"GDF5_BMPR1A_BMPR2","GDF5_BMPR1A_BMPR2","BMP","Gdf5","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf5  - (Bmpr1a+Bmpr2)"
"GDF5_BMPR1B_ACVR2A","GDF5_BMPR1B_ACVR2A","BMP","Gdf5","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf5  - (Bmpr1b+Acvr2a)"
"GDF5_BMPR1B_ACVR2B","GDF5_BMPR1B_ACVR2B","BMP","Gdf5","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf5  - (Bmpr1b+Acvr2b)"
"GDF5_BMPR1B_BMPR2","GDF5_BMPR1B_BMPR2","BMP","Gdf5","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf5  - (Bmpr1b+Bmpr2)"
"GDF6_BMPR1A_ACVR2A","GDF6_BMPR1A_ACVR2A","BMP","Gdf6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf6  - (Bmpr1a+Acvr2a)"
"GDF6_BMPR1A_ACVR2B","GDF6_BMPR1A_ACVR2B","BMP","Gdf6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf6  - (Bmpr1a+Acvr2b)"
"GDF6_BMPR1A_BMPR2","GDF6_BMPR1A_BMPR2","BMP","Gdf6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf6  - (Bmpr1a+Bmpr2)"
"GDF6_BMPR1B_ACVR2A","GDF6_BMPR1B_ACVR2A","BMP","Gdf6","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf6  - (Bmpr1b+Acvr2a)"
"GDF6_BMPR1B_ACVR2B","GDF6_BMPR1B_ACVR2B","BMP","Gdf6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf6  - (Bmpr1b+Acvr2b)"
"GDF6_BMPR1B_BMPR2","GDF6_BMPR1B_BMPR2","BMP","Gdf6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf6  - (Bmpr1b+Bmpr2)"
"GDF7_BMPR1A_ACVR2A","GDF7_BMPR1A_ACVR2A","BMP","Gdf7","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf7  - (Bmpr1a+Acvr2a)"
"GDF7_BMPR1A_ACVR2B","GDF7_BMPR1A_ACVR2B","BMP","Gdf7","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf7  - (Bmpr1a+Acvr2b)"
"GDF7_BMPR1A_BMPR2","GDF7_BMPR1A_BMPR2","BMP","Gdf7","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf7  - (Bmpr1a+Bmpr2)"
"GDF7_BMPR1B_ACVR2A","GDF7_BMPR1B_ACVR2A","BMP","Gdf7","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf7  - (Bmpr1b+Acvr2a)"
"GDF7_BMPR1B_ACVR2B","GDF7_BMPR1B_ACVR2B","BMP","Gdf7","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf7  - (Bmpr1b+Acvr2b)"
"GDF7_BMPR1B_BMPR2","GDF7_BMPR1B_BMPR2","BMP","Gdf7","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf7  - (Bmpr1b+Bmpr2)"
"BMP15_BMPR1B_BMPR2","BMP15_BMPR1B_BMPR2","BMP","Bmp15","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp15  - (Bmpr1b+Bmpr2)"
"BMP5_ACVR1_ACVR2A","BMP5_ACVR1_ACVR2A","BMP","Bmp5","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Acvr2a)"
"BMP5_ACVR1_ACVR2B","BMP5_ACVR1_ACVR2B","BMP","Bmp5","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Acvr2b)"
"BMP5_ACVR1_BMPR2","BMP5_ACVR1_BMPR2","BMP","Bmp5","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Bmpr2)"
"BMP5_BMPR1A_ACVR2A","BMP5_BMPR1A_ACVR2A","BMP","Bmp5","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Acvr2a)"
"BMP5_BMPR1A_ACVR2B","BMP5_BMPR1A_ACVR2B","BMP","Bmp5","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Acvr2b)"
"BMP5_BMPR1A_BMPR2","BMP5_BMPR1A_BMPR2","BMP","Bmp5","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Bmpr2)"
"BMP5_BMPR1B_ACVR2A","BMP5_BMPR1B_ACVR2A","BMP","Bmp5","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Acvr2a)"
"BMP5_BMPR1B_ACVR2B","BMP5_BMPR1B_ACVR2B","BMP","Bmp5","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Acvr2b)"
"BMP5_BMPR1B_BMPR2","BMP5_BMPR1B_BMPR2","BMP","Bmp5","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Bmpr2)"
"BMP6_ACVR1_ACVR2A","BMP6_ACVR1_ACVR2A","BMP","Bmp6","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Acvr2a)"
"BMP6_ACVR1_ACVR2B","BMP6_ACVR1_ACVR2B","BMP","Bmp6","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Acvr2b)"
"BMP6_ACVR1_BMPR2","BMP6_ACVR1_BMPR2","BMP","Bmp6","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Bmpr2)"
"BMP6_BMPR1A_ACVR2A","BMP6_BMPR1A_ACVR2A","BMP","Bmp6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2a)"
"BMP6_BMPR1A_ACVR2B","BMP6_BMPR1A_ACVR2B","BMP","Bmp6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2b)"
"BMP6_BMPR1A_BMPR2","BMP6_BMPR1A_BMPR2","BMP","Bmp6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Bmpr2)"
"BMP6_BMPR1B_ACVR2A","BMP6_BMPR1B_ACVR2A","BMP","Bmp6","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Acvr2a)"
"BMP6_BMPR1B_ACVR2B","BMP6_BMPR1B_ACVR2B","BMP","Bmp6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Acvr2b)"
"BMP6_BMPR1B_BMPR2","BMP6_BMPR1B_BMPR2","BMP","Bmp6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Bmpr2)"
"BMP7_ACVR1_ACVR2A","BMP7_ACVR1_ACVR2A","BMP","Bmp7","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Acvr2a)"
"BMP7_ACVR1_ACVR2B","BMP7_ACVR1_ACVR2B","BMP","Bmp7","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Acvr2b)"
"BMP7_ACVR1_BMPR2","BMP7_ACVR1_BMPR2","BMP","Bmp7","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Bmpr2)"
"BMP7_BMPR1A_ACVR2A","BMP7_BMPR1A_ACVR2A","BMP","Bmp7","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Acvr2a)"
"BMP7_BMPR1A_ACVR2B","BMP7_BMPR1A_ACVR2B","BMP","Bmp7","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Acvr2b)"
"BMP7_BMPR1A_BMPR2","BMP7_BMPR1A_BMPR2","BMP","Bmp7","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Bmpr2)"
"BMP7_BMPR1B_ACVR2A","BMP7_BMPR1B_ACVR2A","BMP","Bmp7","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Acvr2a)"
"BMP7_BMPR1B_ACVR2B","BMP7_BMPR1B_ACVR2B","BMP","Bmp7","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Acvr2b)"
"BMP7_BMPR1B_BMPR2","BMP7_BMPR1B_BMPR2","BMP","Bmp7","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Bmpr2)"
"BMP8A_ACVR1_ACVR2A","BMP8A_ACVR1_ACVR2A","BMP","Bmp8a","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Acvr1+Acvr2a)"
"BMP8A_ACVR1_ACVR2B","BMP8A_ACVR1_ACVR2B","BMP","Bmp8a","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Acvr1+Acvr2b)"
"BMP8A_ACVR1_BMPR2","BMP8A_ACVR1_BMPR2","BMP","Bmp8a","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Acvr1+Bmpr2)"
"BMP8A_BMPR1A_ACVR2A","BMP8A_BMPR1A_ACVR2A","BMP","Bmp8a","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1a+Acvr2a)"
"BMP8A_BMPR1A_ACVR2B","BMP8A_BMPR1A_ACVR2B","BMP","Bmp8a","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1a+Acvr2b)"
"BMP8A_BMPR1A_BMPR2","BMP8A_BMPR1A_BMPR2","BMP","Bmp8a","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1a+Bmpr2)"
"BMP8A_BMPR1B_ACVR2A","BMP8A_BMPR1B_ACVR2A","BMP","Bmp8a","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1b+Acvr2a)"
"BMP8A_BMPR1B_ACVR2B","BMP8A_BMPR1B_ACVR2B","BMP","Bmp8a","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1b+Acvr2b)"
"BMP8A_BMPR1B_BMPR2","BMP8A_BMPR1B_BMPR2","BMP","Bmp8a","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1b+Bmpr2)"
"BMP8B_ACVR1_ACVR2A","BMP8B_ACVR1_ACVR2A","BMP","Bmp8b","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Acvr2a)"
"BMP8B_ACVR1_ACVR2B","BMP8B_ACVR1_ACVR2B","BMP","Bmp8b","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Acvr2b)"
"BMP8B_ACVR1_BMPR2","BMP8B_ACVR1_BMPR2","BMP","Bmp8b","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Bmpr2)"
"BMP8B_BMPR1A_ACVR2A","BMP8B_BMPR1A_ACVR2A","BMP","Bmp8b","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Acvr2a)"
"BMP8B_BMPR1A_ACVR2B","BMP8B_BMPR1A_ACVR2B","BMP","Bmp8b","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Acvr2b)"
"BMP8B_BMPR1A_BMPR2","BMP8B_BMPR1A_BMPR2","BMP","Bmp8b","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Bmpr2)"
"BMP8B_BMPR1B_ACVR2A","BMP8B_BMPR1B_ACVR2A","BMP","Bmp8b","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Acvr2a)"
"BMP8B_BMPR1B_ACVR2B","BMP8B_BMPR1B_ACVR2B","BMP","Bmp8b","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Acvr2b)"
"BMP8B_BMPR1B_BMPR2","BMP8B_BMPR1B_BMPR2","BMP","Bmp8b","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Bmpr2)"
"BMP10_ACVRL1_BMPR2","BMP10_ACVRL1_BMPR2","BMP10","Bmp10","ACVRL1_BMPR2","","","BMP10 activation receptor","","KEGG: mmu04350; PMID:26893264; PMID: 25620979","Secreted Signaling","Bmp10  - (Acvrl1+Bmpr2)"
"BMP10_ACVRL1_ACVR2A","BMP10_ACVRL1_ACVR2A","BMP10","Bmp10","ACVRL1_ACVR2A","","","BMP10 activation receptor","","KEGG: mmu04350; PMID:26893264; PMID: 25620979","Secreted Signaling","Bmp10  - (Acvrl1+Acvr2a)"
"GDF2_ACVRL1_BMPR2","GDF2_ACVRL1_BMPR2","BMP10","Gdf2","ACVRL1_BMPR2","","","BMP10 activation receptor","","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf2  - (Acvrl1+Bmpr2)"
"GDF2_ACVRL1_ACVR2A","GDF2_ACVRL1_ACVR2A","BMP10","Gdf2","ACVRL1_ACVR2A","","","BMP10 activation receptor","","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf2  - (Acvrl1+Acvr2a)"
"GDF9_ACVR1B_BMPR2","GDF9_ACVR1B_BMPR2","GDF","Gdf9","ACVR1B_BMPR2","","","","","KEGG: mmu04350","Secreted Signaling","Gdf9  - (Acvr1b+Bmpr2)"
"GDF10_ACVR1B_ACVR2A","GDF10_ACVR1B_ACVR2A","GDF","Gdf10","ACVR1B_ACVR2A","","","","","KEGG: mmu04350","Secreted Signaling","Gdf10  - (Acvr1b+Acvr2a)"
"GDF11_TGFBR1_ACVR2A","GDF11_TGFBR1_ACVR2A","GDF","Gdf11","TGFBR1_ACVR2A","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2a)"
"GDF11_TGFBR1_ACVR2B","GDF11_TGFBR1_ACVR2B","GDF","Gdf11","TGFBR1_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2b)"
"GDF11_ACVR1B_ACVR2B","GDF11_ACVR1B_ACVR2B","GDF","Gdf11","ACVR1B_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Acvr1b+Acvr2b)"
"GDF15_TGFBR2","GDF15_TGFBR2","GDF","Gdf15","Tgfbr2","","","","","KEGG: mmu04350","Secreted Signaling","Gdf15  - Tgfbr2"
"MSTN_TGFBR1_ACVR2B","MSTN_TGFBR1_ACVR2B","MSTN","Mstn","TGFBR1_ACVR2B","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Tgfbr1+Acvr2b)"
"MSTN_ACVR1B_ACVR2B","MSTN_ACVR1B_ACVR2B","MSTN","Mstn","ACVR1B_ACVR2B","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Acvr1b+Acvr2b)"
"MSTN_ACVR1B_ACVR2A","MSTN_ACVR1B_ACVR2A","MSTN","Mstn","ACVR1B_ACVR2A","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Acvr1b+Acvr2a)"
"MSTN_TGFBR1_ACVR2A","MSTN_TGFBR1_ACVR2A","MSTN","Mstn","TGFBR1_ACVR2A","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Tgfbr1+Acvr2a)"
"AMH_AMHR2_ACVR1","AMH_AMHR2_ACVR1","AMH","Amh","AMHR2_ACVR1","","","","","KEGG: mmu04060","Secreted Signaling","Amh  - (Amhr2+Acvr1)"
"AMH_AMHR2_BMPR1A","AMH_AMHR2_BMPR1A","AMH","Amh","AMHR2_BMPR1A","","","","","KEGG: mmu04060","Secreted Signaling","Amh  - (Amhr2+Bmpr1a)"
"GDNF_GFRA1","GDNF_GFRA1","GDNF","Gdnf","GFRA1_RET","","","","","PMID: 11544105","Secreted Signaling","Gdnf  - Gfra1"
