"","subunit_1","subunit_2","subunit_3","subunit_4"
"ITGB1_ITGA1","Itgb1","Itga1","",""
"KLRD1_KLRC1","Klrd1","Klrc1","",""
"KLRD1_KLRC2","Klrd1","Klrc2","",""
"KLRK1_HCST","Klrk1","Hcst","",""
"LIFR_IL6ST","Lifr","Il6st","",""
"Npnt complex 1","Npnt","Fras1","Frem1",""
"Npnt complex 2","Npnt","Fras1","Frem2",""
"NRP1_NRP2","Nrp1","Nrp2","Plxnd1",""
"NRP1_PLXNA1","Nrp1","Plxna1","",""
"NRP1_PLXNA2","Nrp1","Plxna2","",""
"NRP1_PLXNA3","Nrp1","Plxna3","",""
"NRP1_PLXNA4","Nrp1","Plxna4","",""
"NRP2_PLXNA1","Nrp2","Plxna1","",""
"NRP2_PLXNA2","Nrp2","Plxna2","",""
"NRP2_PLXNA3","Nrp2","Plxna3","",""
"NRP2_PLXNA4","Nrp2","Plxna4","",""
"OSMR_IL6ST","Osmr","Il6st","",""
"PLXNA1_KDR","Plxna1","Kdr","",""
"PLXNA1_TREM2","Plxna1","Trem2","Tyrobp",""
"PTCH1_SMO","Ptch1","Smo","",""
"PTCH2_SMO","Ptch2","Smo","",""
"TGFBR1_ACVR2A","Tgfbr1","Acvr2a","",""
"TGFBR1_ACVR2B","Tgfbr1","Acvr2b","",""
"TGFbR1_R2","Tgfbr1","Tgfbr2","",""
